city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
Lower Manhattan and Brooklyn Bridge Guided Fiets Tour (Dutch),"Lower Manhattan offers some of the most unique neighborhoods, iconic landmarks, and breathtaking sights that you won't find anywhere else in New York City. Our Dutch tour goes out daily, and is a 2 hour experience that encompasses essential must-see attractions! Our guides provide in-depth narration and stops for photo opportunities at famous sights and hidden gems throughout the tour.",[],"['Use of bicycle', 'Helmets, Baskets/Bike Bags, Locks']",['Gratuity'],[],[],"Departure point79 Chambers St, Chambers St 79, Manhattan, New York, 10007Guests can find the Unlimited Biking store at 79 Chambers Street between Broadway and Church St. Check in at the front desk!"
Brooklyn Distilleries Tasting Tour,"On this tour, you'll have the opportunity to learn about the history of alcohol production in New York during a guided visit to three distilleries in Brooklyn. While visiting the distilleries, you'll get to hear about the process of making spirits, from fermentation to distillation to maturation. You'll get to see how ginger-flavoured spirits are made. You'll also have an opportunity to sample six different spirits that are representative of the state of New York.",[],['Guide services'],"['Food and drinks', 'Tips']",['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure point34th St 86, Brooklyn, Sunset Park, New York, NY, 11232"
"Beers, Burgers and Buns Experience","Can’t decide between a bar crawl and a food tour whilst you’re in New York? Then why not join an experience that does both!On the Beers, Burgers and Buns experience we will do just what the title suggests - drink cold beer (or wine), eat delicious burgers, and bite into some (chicken) buns – as we walk through the fascinating neighborhood of the East Village.Along the way we’ll visit three unique bars and two dining spots, plus we’ll learn about the fascinating history of New York City – from the prohibition era to today – and hear the stories of the people behind the food and drink you will be enjoying. What more could you ask for?This experience is only for those 21 years & older. EVERYONE must bring valid ID.Great for solo travelers, corporate groups and private parties alike.*Sadly this is not available for vegan and gluten free diets. Sorry!",[],"['Welcome drink at first venue', 'A Smash Burger and a Chicken Sandwich']",,[],[],"Departure point29 3rd Ave, 3rd Ave 29, Manhattan, New York, 10003Meet at The Bean Cafe"
Luxury Boat Tour,"On this one-hour sightseeing cruise, you’ll explore the waters around Manhattan, viewing the highlights of the city skyline from the water. You’ll board a luxurious, 8.5-metre powerboat cruiser and set out into the waters of lower Manhattan. Your route will take you past iconic landmarks like the Freedom Tower, Brooklyn Bridge, 9/11 Memorial, Statue of Liberty and more, with several stops to take photos.",[],['One-hour cruise'],['Food and drinks'],['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure pointNorth Cove Marina, Vesey St, Manhattan, New York, NY, 10281The boat departs from North Cove Marina, next to the Freedom Tower and 9/11 Memorial."
Chelsea and Greenwich Village Walking Tour,"On this walking tour, you'll explore parts of Chelsea and Greenwich Village with an informative guide. You'll get to see the new Hudson Yards development, walk along the scenic High Line with spectacular views over the city and visit Chelsea Market.  Your guide will also show you the exterior of the building used in the TV series Friends and the outside of Sex and the City's Carrie Bradshaw's home. During the tour, your guide will tell you anecdotes about the places you'll see and talk to you a little about the history of the city.",[],['Guide services'],"['Tips', 'Subway card']",['Comfortable footwear is recommended.'],"['Portuguese', 'Portuguese', 'Portuguese']","Departure pointBryant Park, Manhattan, New York, NY, 10018The meeting point for the tour is at the Bryant Park fountain, between 40th and 42nd Streets on 6th Avenue."
Central Park Bike Tour in Spanish or English,"Enjoy an easy bike ride through beautiful Central Park in New York City, admiring top attractions including Bethesda Fountain, Strawberry Fields, Belvedere Castle, Cleopatra's Needle and the Sheep Meadow. Learn about the magnificent 843-acre (341-hectare) park from a local guide as you cruise along its gently winding paths. Suitable for all fitness levels, the relaxing ride is an excellent way to cover lots of the park's most famous landmarks in a short span of time.",[],"['Tour in Spanish or English', 'All taxes, fees and handling charges', 'Professional guide', 'Bike rental, helmet, bike bag, lock and map']","['Hotel pickup and drop-off', 'Gratuities']",[],[],"Departure point56 W 56th St, W 56th St 56, Manhattan, New York, 10019Pick up from our store location and check in at the desk on 56W 56th street between 5th and 6th avenue."
Fun City Scavenger Hunt in New York by Operation City Quest,Operation City Quest of New York is a great way to see the city! Use an app to submit photos of items you find around the city and challenges you complete for points. The items and challenges can be completed in any order you prefer! See your score on the app leaderboard to see how you compare. The scavenger hunt includes a remote host to help via chat along the way. Come discover New York.,[],"['2 hours with a remote interactive guide', 'GST (Goods and Services Tax)', 'All Activities']","['Use of Activity-owned smartphone', 'Private transportation']",[],[],"Departure point6701 Central Park S, Central Park S 6701, Manhattan, New York, 10019You will receive a message before your game with instructions on how to start. If you do not receive the message prior to starting please contact us."
Brunch Cruise from Pier 15,"On this experience, you’ll float adrift on the waters of the East and Hudson Rivers during an elegant brunch cruise. During the cruise, you’ll be able to catch a glimpse of the city’s top highlights like the Empire State Building and the Statue of Liberty. The cruise will include onboard entertainment, a buffet and unlimited drinks.","['A comfortable cruise floating along the Hudson and East Rivers', 'A chance to see the Empire State Building and Statue of Liberty', 'A yummy buffet brunch with entrées, salads, desserts and drinks']","['Brunch cruise', 'Unlimited mimosas and drinks', 'Guaranteed table for your party size', 'Onboard entertainment with DJ']","['Tips (optional)', 'Additional food and beverages']","['Visitors must show a valid photo ID.', 'Please arrive at least 30 minutes before the activity starts.']","['The minimum age for consuming alcohol is 21 years. \rPlease note that only credit cards will be accepted for onboard purchases. \rThis tour is suitable for wheelchair users. \rSmoking is not permitted inside the boat. \rThe recommended dress code includes slacks, capri pants, a polo, a button-down shirt or a sundress.\rShow more', 'Show more']","Brunch Cruise from Pier 15Pier 15, 78 South St, New York, NYArrive at Pier 15 located at the South Street Seaport."
Falling in Love Outdoor Escape Game in New York,"Discover the most romantic spots in New York, by solving clues and unlocking stories on your phone. Play the engaging exploration game, reenacting the story of a woman trying to save her late father’s legacy.As you solve challenges, the story unfolds and directions on your phone will guide you to the next location. Ready for an adventure? Highlights include:- Explore Bethesda Terrace, The Dakota, Shakespeare & Co and other lesser-known places.- Enjoy a uniquely crafted story brought to you by our top-notch writers.- Recognize date spots of your favorite fictional characters.- Try a new type of experience, the perfect mix between a tour, outdoor escape game, and treasure hunt.- See where Yoko Ono and John Lennon continue their love even after deathAfter your booking you will receive an email with instructions on how to download and play the game on your phone. We recommend that each user purchases a ticket for an optimal experience, although several people can share a phone.",[],"['24/7 customer support.', 'A city exploration game available on your phone (Questo app).']","['A tour guide.', 'Entry tickets to attractions (not needed to complete the tour).']",[],[],"Departure pointThe Metropolitan Museum of Art, 5th Ave 1000, Manhattan, New York, 10028• Go to The Metropolitan Museum of Art (game starting point).
• Bring a charged phone.
• Open the Questo app and follow the instructions.
• You must have downloaded the app and created an account first, using the same email you made the purchase with."
One World Trade Observation Deck Anytime Tickets with free Boat Ride,"Ride to the 102nd floor and watch the virtual city skyline transform across centuries of history. Learn about the construction of the skyscraper, which has sweeping views across the city, enjoying New York from a whole new perspective. New York City at your feet with admission to the One World Observatory, a 3-story destination on top of the western hemisphere’s tallest building. Admission to One World Observatory Learn about the construction of America's tallest building Enjoy interpretive art installations that explore NYC history. This ticket allows you to go when you wish during the date you choose. You will also enjoy a free 60 minute sighting boat tour that goes to the statue of liberty from pier 36.",[],"['60 Min Sightseeing Cruise of NYC', 'One World Trade Observatory entrance']",,[],[],
Private Chelsea Market and High Line Food Tour,"On this food-themed tour, you'll explore Chelsea Market and the High Line with a local guide. You'll learn more about the history of the meatpacking district as you walk through the neighbourhood, stopping for food along the way. During the tour, you'll get to try foods including Sicilian-style pizza, pastries, doughnuts and honey and you'll do a hot-sauce tasting with an expert.  You'll also walk along the High Line for panoramic views over the city and the Hudson River, go to see the Vessel in Hudson Yards and visit Artists & Fleas, where you'll get a tote bag and an introduction to this creative marketplace.",[],"['Guide services', 'Lunch']","['Alcoholic drinks', 'Tips', 'Hotel pickup and drop-off']",['Requires a moderate level of physical fitness'],"['English (US)', 'English (US)', 'English (US)']","Departure pointBuddakan, 9th Ave 75, Manhattan, New York, NY, 10011"
Little Italy - Official Historic District Tour,A factual authentic narrative endorsed by the neighborhood.Meet and interact residents of the community.Discover the hidden secrets of the districtThis is an exclusive partnership with the Historic District.,[],"['90 Minute Walking Tour', 'Tour Guide']",['Tips'],[],[],"Departure pointChinatown Information Kiosk, Baxter St 101, Manhattan, New York, 10013"
1 HR - NYC Private Classic Car Experience - Midtown,"This is a completely immersive, private, historical experience of Midtown Manhattan from the lens of the 1920's. Seated in the backseat of a 1928 Ford, the trip is designed to evoke a nostalgic feeling for the vibrancy & history of NYC. We provide the music, the costumes/props, and the magic! Each driver is dressed from the 1920's, and creates an educational, private and premium experience while visiting New York City.",[],['Private transportation'],['Gratuities'],[],[],"Departure point910 7th Ave, 7th Ave 910, Manhattan, New York, 10019Restaurant named Ella Mozzarella, please go in, have a seat and wait for the car to pull around!"
Guided City Walking Tour,"On this guided city walking tour, you'll get the opportunity to take in the highlights of Ground Zero and Lower Manhattan on a private visit to New York City. During the tour, you'll spend 2–2.5 hours exploring the city to learn about its history and culture. You'll first spend time in Lower Manhattan to discover its Dutch and colonial influences. While here, you'll visit Bowling Green, Castle Clinton, the Battery, Trinity Church and Federal Hall. Then, you'll move on to Ground Zero to see the National September 11 Memorial and Museum and the One World Trade Center.",[],['Guide services'],"['Hotel pickup and drop-off', 'Tips (optional)']",['Requires a moderate level of physical fitness'],"['Please arrive at least 10 minutes before the activity starts.', 'Please arrive at least 10 minutes before the activity starts.', 'Comfortable footwear is recommended.', 'Comfortable footwear is recommended.']","Departure pointBattery Park Underpass, Manhattan, New York, NY, 10004Meet your guide inside the Battery, located opposite Castle Clinton."
Lower Manhattan and Ground Zero Walking Tour,"This 2.5-hour guided walk will give you the chance to dive deep into the history of Lower Manhattan. Led by a local guide, you’ll be able to get off the tourist trail to discover lesser-known landmarks. You’ll get to stop at sights such as Castle Clinton, Trinity Church, Bowling Green, and more.  As you wander, your guide will share fascinating insights into the history of the district. You’ll hear all about its Dutch roots, Alexander Hamilton’s connections to the city, and the impact of 9/11.",[],['Guide services'],"['Hotel pickup and drop-off', 'Tips']",['Requires a moderate level of physical fitness'],"['Please arrive at least 10 minutes before the activity starts.', 'Please arrive at least 10 minutes before the activity starts.']","Departure pointBattery Park Underpass, Manhattan, New York, NY, 10004Please meet your guide on the steps opposite the entrance to Castle Clinton National Monument at Battery Park."
Lower Manhattan Guided Walking Tour in French,"On this walking tour, you will be accompanied by a French-speaking guide as you explore some of the most popular neighbourhoods in Manhattan.  You will begin your tour in heart of SoHo, short for South of Houston Street, which is lined with buildings that feature wrought-iron balconies and exterior staircases. Continuing towards Greenwich Village, you will stop at Washington Square Park, which is frequented by students, chess players and street artists. Finally, you will stroll through the cobblestone streets of the trendy Meatpacking District. Here, you will find art galleries, craft markets, high-end stores and the elevated linear park built on a disused train track.",[],['French language guide services'],"['Tips', 'Snacks']",['Suitable for all fitness levels'],"['French', 'French', 'French']","Departure pointLt. Petrosino Square, Cleveland Pl, Manhattan, New York, NY, 10012Instructions on the meeting point will be provided a few days before the tour."
Statue of Liberty and Ellis Island History Tour,"On this tour, you'll get the opportunity to learn about Ellis Island and the Statue of Liberty, an iconic landmark of New York and America. From the shore of Manhattan, a professional guide will provide insights about the history of the island, the Ellis Island National Museum of Immigration and the famous statue. Afterwards, you'll have the option to take a ferry ride to Liberty Island and visit on your own.",[],"['Ferry ride', 'Guide services']","['Food and drinks', 'Tips']",['Suitable for all fitness levels'],"['The tour runs in all weather conditions. Please dress accordingly.\rPlease note that all weapons (firearms, any dangerous items and dual-use items that could be dangerous), unmanned aircraft systems, drones and other similar remote-controlled flying devices or vehicles, large packages, suitcases, carry-on luggage and other large parcels, face masks and costumes concealing the identity of a person are prohibited on the tour. Please do not bring any of the mentioned items into the security screening area.\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book or be accompanied by an adult. Operated by American Tour Guide Association Inc']","Departure pointThe Battery, Manhattan, Battery Park City, New York, NY, 10004Meet your guide inside Castle Clinton in front of the bookstore."
Brooklyn Pizza and Sightseeing Tour,"On this 4.5-hour sightseeing tour, you'll explore Brooklyn and have a chance to taste the borough's world-famous pizza. From the meeting point, the tour vehicle will take you on a drive offering stunning views of the Brooklyn Bridge. You'll then arrive at your first Pizza Stop – Grimaldi’s, just under the Brooklyn Bridge.  After indulging in pizza, you'll visit a few attractions, including the Brooklyn Army Terminal, where Elvis Presley sailed off to Germany in 1958. You'll then have another pizza stop at L&B Spumoni Gardens.  Afterwards, you'll get a glimpse of million-dollar homes along Shore Road in Bay Ridge and see the historical landmark, Gingerbread House. You'll also have a chance to stroll along Coney Island's famous boardwalk before the tour ends.",[],"['Transportation in an air-conditioned vehicle', 'Guide services', 'Live commentary onboard', 'Skip-the-line access', 'Pizza']","['Alcoholic drinks', 'Tips', 'Hotel pickup and drop-off']","['Children under 18 years old must be accompanied by an adult.', 'Comfortable footwear is recommended.']","['English (UK)', 'English (UK)', 'English (UK)']","Departure point4th Ave 137, Manhattan, New York, NY, 10003Please proceed in front of Liquiteria Juice Bar on the northeast corner of East 13th Street and 4th Avenue (in the Union Square area of Manhattan). Please be at the meeting point 15 minutes before the start of the tour as the bus will leave promptly and on time. Please note that you won’t be able to catch up with the bus once the tour has started."
LGBTQ+ Tour of West Chelsea with a Photoshoot,"On this walking tour, you'll discover the Chelsea and Meatpacking district and the High Line with your guide. You'll get an insight into the Queer Ecology of these districts and learn how the LGBTQ+ community helped them develop into thriving urban neighbourhoods with the spectacular High Line and its alfresco artwork overhead.  As you catch glimpses of iconic New York landmarks like the Statue of Liberty and the Empire State Building, you'll have a photoshoot on the High Line and around the neighbourhoods and you'll have a chance to try some tasty snacks in Chelsea.",[],"['Camera for photo shoot and audio whisper system', 'Up to ten photos', 'Snacks']",['Water'],"['Not recommended for pregnant visitors', 'Not recommended for visitors with back problems', 'Not recommended for visitors with heart problems or serious medical conditions', 'Requires a moderate level of physical fitness']","['English (UK)Spanish', 'English (UK)', 'English (UK)', 'Spanish', 'Spanish']","Departure pointW 23rd St 501, Manhattan, New York, 10011Meet for your tour at the listed address. The closest subway station is at 23rd St and 8th Avenue, served by lines E and C."
Midtown Manhattan and SUMMIT One Vanderbilt Tour,"On this two-hour walking tour of Midtown Manhattan, you’ll see iconic skyscrapers such as the Rockefeller Center and the Chrysler Building. You’ll also see famous landmarks like the Channel Gardens, Fifth Avenue and Grand Central Station, which is designated as a National Historic Landmark.   You’ll round off the journey at the SUMMIT One Vanderbilt skyscraper, which you’ll explore on a self-guided tour. You’ll also take in panoramic city views from the observation deck.","[""Chance to see Manhattan's iconic skyscrapers and landmarks"", 'Admission to the SUMMIT One Vanderbilt and observation deck']","['Guide services', 'Two-hour walking tour', 'Admission to SUMMIT One Vanderbilt']",['Tips'],"['Please arrive at least 15 minutes before the activity starts.', 'Comfortable footwear is recommended.']","['English (US)', 'English (US)', 'English (US)']","Meeting pointRadio City Music Hall, 1260 Avenue of the Americas, New York, NY, 10020Meet your guide at the Radio City Music Hall."
Alexander Hamilton-themed Private Tour,"This private tour in New York will give you insights into the revolutionary events of the city. You’ll learn about Alexander Hamilton – the First Secretary of the Treasury. During this guided tour, you’ll discover how New York City was founded and became the financial capital of the world. You’ll also get a glimpse of the oldest church in the city.",[],['Guide services'],['Tips'],['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure pointState St 3825, Manhattan, New York, NY, 10004Meet your guide at the South Gate of Bowling Green Park, facing the National Museum of the American Indian."
Private 9/11 Memorial Tour,"On this guided tour, you will experience the 9/11 Memorial with a local guide who lived in New York City during the September 11 attacks.  Starting at St. Paul's Chapel, you will visit One World Trade Center, the Survivor Tree, Liberty Park and the twin memorial pools, located where the Twin Towers once stood. As you tour the grounds, your guide will provide insights into the design features and the lasting impacts of the attacks. Your guide will also share personal stories regarding their experiences during the events of September 2001.",[],"['Guide services', 'Photo shoot']",['Tips'],['Requires a moderate level of physical fitness'],"['Comfortable footwear is recommended.', 'Comfortable footwear is recommended.']","Meeting point209 Broadway, Broadway 209, Manhattan, New York, 10007Meet your guide in front of St. Paul's Chapel."
The Psychiatric History of New York Walking Tour,"Take an analytical stroll through the evolution of psychiatry on Manhattan's Upper East Side.Main Features: Find out about the journey of psychiatry from Central Europe to America. Learn about the madhouses of the metropolis. Discover the psychoanalytic explosion that occurred in New York City. Hear about the Sackler family’s beginnings in “valiumania.”  Peer at the psychiatric islands of the East River, the homes of distinguished and disgraced doctors, the first American psychoanalytic society, and the offices, mansions, and townhouses of medical research and Freudian relations.",[],['All Fees and Taxes'],,[],[],"Departure pointCarl Schurz Park, East End Ave, Manhattan, New York, 10028Meet at the 87th St and East End Ave entrance to Carl Schurz Park (3 blocks east of 86th St subway Q line)."
Full-day City Pass,"With this full-day New York City pass, you’ll unlock the Big Apple’s essence in a single day. You’ll also be able to go on an adventure-packed exploration through various vibrant boroughs. During your visit, you’ll see a number of cultural gems in Brooklyn, The Bronx, Queens, Staten Island and Manhattan. Additionally, you’ll dive into several museums, with exclusive admission privileges. Along the way, you can unlock discounts for cultural and artistic events, attractions and performances in the city. Further, you’ll get several free tours included as part of your New York City pass.","['Opportunity to go on an exploration of five New York City boroughs', 'Admission to some popular museums in the city at an affordable cost', 'Chance to have the pass sent to your mobile device via email or text']",['Admission to the attractions'],,[],[],"Full-day City PassNew York, NYPlease present your mobile New York City pass to the ticketing agent at each attraction and redeem your tickets."
Harlem Rhythm and Rhyme Walking Tour,"On this half-day excursion, you’ll explore the neighbourhood of Harlem. Led by a long-time Harlem resident, historian and tour guide, you’ll embark on a stroll across the Upper Manhattan neighbourhood famous for its music scene. You’ll learn about the powerful words that were spoken on the district’s streets, shared through music and written in books. As you enjoy the sights, you’ll have an opportunity to listen to your guide’s valuable commentary about Harlem’s rhythm and rhyme, making it one of the most unique areas in New York City.",[],['Guide services'],['Personal expenses'],['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure pointSchomburg Center for Research in Black Culture, Malcolm X Blvd 515, Manhattan, New York, NY, 10037Meet your guide in front of the building at the listed address."
Guided Pub Crawl in NYC’s West Village,"On this guided pub crawl in NYC, you’ll experience the highlights of the New York night life on a visit to several bars in Greenwich Village. On the way, you’ll get to spend time at four of the most popular drinking establishments in the city. During the tour, you’ll play beer pong and take part in karaoke and live bands. You’ll also get a taste of the hottest DJs in the city with a chance to dance the night away. At each location, you’ll be treated to free admission and complimentary shots.",[],"['Live entertainment', 'Guide services', 'Drink specials']",['Tips'],['Suitable for all fitness levels'],"['Visitors must show a valid photo ID.', 'Visitors must show a valid photo ID.']","Departure pointWest Village, Manhattan, New York, NYPlease find the tour times and location on the voucher you receive after booking."
Harlem Movies and TV Walking Tour,"On this immerse tour, you’ll explore Harlem and its heritage and culture through the medium of film and TV. Led by a born-and-bred local, you’ll make your way through the neighbourhood’s streets, visiting the sites where scenes from shows and movies like Luke Cage, American Gangster, Malcolm X, New Jack City, Law and Order and more were filmed. At each location, your guide will play you video footage of the scenes that were shot there and offer you historical information about the specific area.",[],['Guide services'],['Food and drinks'],[],[''],"Departure point104 Malcolm X Blvd, Manhattan, New York, NY, 10026Meet your guide at the Harlem Heritage Tourism and Cultural Center."
