city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
Turtle Canyons Snorkel from Waikiki (Semi Private Boat Tour),Book our semi-private Turtle Canyons snorkel tour for some turtle fun. Escape the other crowded boats and join us for an intimate experience today! We only take up to 6 passengers onboard to ensure that all our guests are comfortable. Our semi-private snorkel tour takes our guests to the famous Turtle Canyons to snorkel with the Hawaiian green sea turtles. We promise a 100% turtle sighting guaranteed or come back for free.,[],"['Experienced crew & snorkel guides', 'Light snacks & soft drinks', 'Flotation vests', 'Snorkel equipment']",['Towels'],[],[],"Departure pointHawaiian Parasail Inc., #600b, Ala Moana Blvd 1651, Waikiki, Honolulu, 96815Our boat will be located at the loading dock near the yellow parasail booth. See exact map location on google or apple maps for additional directions. We ask that you arrive to the loading dock 30 minutes prior to the scheduled time of departure."
Turtle Canyon Snorkel Adventure,We are unique because we keep our group size limited to 20 people. This makes it comfortable and more of a VIP experience for our guests. Also marine life does not get overwhelmed and stressed by too many people in the water and they like to swim closer to our guests. We also play music based on your taste. We even let you log on to the Bluetooth to play your favorite songs along the way.We understand not everyone is a snorkeler so we put floating platforms out to lounge on that are attached to the boat if simply relaxation is your goal.,[],"['Soda/Pop', 'Snacks', 'Use of Snorkelling equipment', 'Floatation devices']","['Our vessel is BYOB', 'Parking is available for $1/hr']",[],[],"Departure pointCharter Oahu, Slip B5, Ala Moana Blvd 1125, Kaka'ako, Honolulu, 96814Please meet at Pier B at where you will be greeted by one of our crew 15 minutes prior to your charter time. Parking is available for $3/hr."
Moana’s Sunset Cocktail Sail along Oahu's Waikiki Coast,"All aboard! There is no better place to be during Oahu’s magnificent golden sunsets than on our Waikiki Sunset Cruise, an unmatched experience complete with premium drinks, indescribable views, and music.As we sail alongside Oahu’s iconic Coast, you’ll find yourself experiencing a bucket list moment. From the setting sun turning the sky orange, purple and pink, to the suddenly golden Waikiki city scape, there is no shortage of amazing Oahu views you’ll spot from our 55’ luxury sailing catamaran.Feeling thirsty?Sip on the cocktail of your choice from our premium on board bar. Enjoy a complimentary first round of cocktails!*November to May is Humpback Whale season, a once in a lifetime experience that you will never forget.Book the #1 Waikiki Sunset Sail online today, our experienced captains, and knowledgeable staff will be waiting for you.* GA check-in & Boarding: 4:45 p.m* Gate Closes at 4:55pm – Don’t be late – No Refunds, No Exceptions.* Cruise Time: 5:00 p.m – 7:00 p.m",[],"['First round from our premium full bar is complimentary, $8 per drink after!', 'Sunset sailing excursion with experienced captain and crew.', 'Restroom on board']",['Gratuities'],[],"['What guests loved mostSee all reviewsAAndrea_DThe captain & crew were super friendly.  The boat was very clean & accommodating.  Smooth sailing & amazing views!!\xa0Posted 01 March 2024 on ViatorKKari_MWonderful experience. Saw whales and laughed with all on board. The crew was fabulous and cocktail were refreshing. \xa0Posted 01 March 2024 on ViatorRRobert_SFabulous way to end our trip to Oahu! The crew was great.  The views were phenomenal! Absolutely loved it.\xa0Posted 01 March 2024 on ViatorJJulie_NEven though it was overcast it was a beautiful evening. We even saw a couple of whales. The staff was wonderful. \xa0Posted 29 February 2024 on ViatorAAn_BThe crew was great. The sunset wasn’t spectacular that day but it was a lot of fun. I would definitely do it again.\xa0Posted 27 February 2024 on Viator', 'What guests loved mostSee all reviews', 'AAndrea_DThe captain & crew were super friendly.  The boat was very clean & accommodating.  Smooth sailing & amazing views!!\xa0Posted 01 March 2024 on ViatorKKari_MWonderful experience. Saw whales and laughed with all on board. The crew was fabulous and cocktail were refreshing. \xa0Posted 01 March 2024 on ViatorRRobert_SFabulous way to end our trip to Oahu! The crew was great.  The views were phenomenal! Absolutely loved it.\xa0Posted 01 March 2024 on ViatorJJulie_NEven though it was overcast it was a beautiful evening. We even saw a couple of whales. The staff was wonderful. \xa0Posted 29 February 2024 on ViatorAAn_BThe crew was great. The sunset wasn’t spectacular that day but it was a lot of fun. I would definitely do it again.\xa0Posted 27 February 2024 on Viator', 'AAndrea_DThe captain & crew were super friendly.  The boat was very clean & accommodating.  Smooth sailing & amazing views!!\xa0Posted 01 March 2024 on Viator', 'AAndrea_DThe captain & crew were super friendly.  The boat was very clean & accommodating.  Smooth sailing & amazing views!!\xa0Posted 01 March 2024 on Viator', 'A', 'A', 'A', 'Andrea_D', 'Andrea_D', 'Posted 01 March 2024 on Viator', 'KKari_MWonderful experience. Saw whales and laughed with all on board. The crew was fabulous and cocktail were refreshing. \xa0Posted 01 March 2024 on Viator', 'KKari_MWonderful experience. Saw whales and laughed with all on board. The crew was fabulous and cocktail were refreshing. \xa0Posted 01 March 2024 on Viator', 'K', 'K', 'K', 'Kari_M', 'Kari_M', 'Posted 01 March 2024 on Viator', 'RRobert_SFabulous way to end our trip to Oahu! The crew was great.  The views were phenomenal! Absolutely loved it.\xa0Posted 01 March 2024 on Viator', 'RRobert_SFabulous way to end our trip to Oahu! The crew was great.  The views were phenomenal! Absolutely loved it.\xa0Posted 01 March 2024 on Viator', 'R', 'R', 'R', 'Robert_S', 'Robert_S', 'Posted 01 March 2024 on Viator', 'JJulie_NEven though it was overcast it was a beautiful evening. We even saw a couple of whales. The staff was wonderful. \xa0Posted 29 February 2024 on Viator', 'JJulie_NEven though it was overcast it was a beautiful evening. We even saw a couple of whales. The staff was wonderful. \xa0Posted 29 February 2024 on Viator', 'J', 'J', 'J', 'Julie_N', 'Julie_N', 'Posted 29 February 2024 on Viator', 'AAn_BThe crew was great. The sunset wasn’t spectacular that day but it was a lot of fun. I would definitely do it again.\xa0Posted 27 February 2024 on Viator', 'AAn_BThe crew was great. The sunset wasn’t spectacular that day but it was a lot of fun. I would definitely do it again.\xa0Posted 27 February 2024 on Viator', 'A', 'A', 'A', 'An_B', 'An_B', 'Posted 27 February 2024 on Viator', '']","Departure pointKewalo Basin Harbor, Ala Moana Blvd 1125, Kaka'ako, Honolulu, 96814The Moana Catamaran is located on the south end of Kewalo Harbor, at slip D 108. Please arrive 30 minutes prior to check-in time. Best and easiest way to get to us is Uber, Lyft or cab. Very limited parking available in harbor.
Additional parking available at ward shopping areas."
Full-day Sightseeing Tour of Oahu with Snorkelling,"On this full-day tour of Oahu, you’ll learn about Hawaiian culture and discover scenic vistas and pristine beaches. Your first stop is Diamond Head Lookout, where you can witness the tail end of a sunrise. Later on, you’ll head to Haleiwa, where you’ll stop by the North Shore Macadamia Nut Company. You will also visit nearby Waimea Bay – a world-class surfing destination – and look for turtles at Laniakea Beach.  For a taste of history, you’ll head to Laʻie Temple, the first Mormon temple built outside the continental United States. You will also get the chance to peruse the exhibits at the Dole Plantation and sip espresso at Green World Coffee Farms. Other tour highlights include snorkelling, fruit stands and a shrimp food truck.",[],"['Guide services', 'Bottled water and soda', 'Snorkelling equipment', 'Hotel pickup']",['Lunch'],"['Not recommended for pregnant visitors', 'Not recommended for visitors with back problems', 'Not recommended for visitors with heart problems or serious medical conditions', 'Suitable for all fitness levels']","['English (US)', 'English (US)', 'English (US)']","Departure pointSeaside Ave 333, Waikiki, Honolulu, HI, 96815Please note that a complimentary pickup service is available from hotels in Waikiki area. Please enter your pickup details at checkout. 

Please note that hotel pickups will commence 30 minutes before the scheduled tour time. 

If your hotel is not located in the listed pickup areas, please make your way to the designated meeting point. 

If you aren't using the hotel pickup service, meet your guide in front of the department store Ross Dress for Less store at 8:00. 

Please contact the tour provider to confirm your pickup or meeting point. You'll find their contact details on the ticket."
North Shore of Oahu Snorkelling Trip,"This snorkelling trip will introduce you to the fascinating marine wildlife and underwater sights of Oahu’s North Shore. You’ll have an experienced guide on board who will take you to the best and safest spots for snorkelling. In the warm, turquoise waters, you’ll see many creatures like native Hawaiian reef fish, dolphins, rays, turtles and more.","['Crystal-clear waters of the North Shore', 'Expert guide to show you the best spots', 'Chance to spot exquisite native marine life']","['Guide services', 'Use of snorkelling equipment']",,[],['You can bring your own food and drinks onto the boat. \rThe minimum age for participating in this experience is three years.\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book or be accompanied by an adult. Operated by Ocean Outfitters Hawaii'],"Meeting point66-105 Haleiwa Rd, Oahu, 96712Meet at the yellow boat named Rambo II in the marina.

Parking is free in the harbour. 

Please arrive at least 30 minutes before the tour departs."
Admission to Chief's Luau,"With this admission ticket, you will be able to indulge in hula lessons, watch a fire show and enjoy a Hawaiian feast. Once you arrive at the location, you will enjoy a traditional lei greeting and a cocktail. You will then be able to immerse yourself in the island's culture and attend a luau produced by Chief Sielu. After this, you will learn how to weave a headband and partake in hula lessons. Later, you will sit down for a feast amidst the new luau grounds featuring an iconic 50-foot waterfall.",[],['Food and drinks'],"['Tips', 'Transportation']",['Suitable for all fitness levels'],"['Visitors must show a valid photo ID.', 'Visitors must show a valid photo ID.']","Departure pointChief's Luau, 400 Farrington Hwy, Wet 'n' Wild Hawaii, Kapolei, HI, 96707-2020Please contact the tour provider to arrange a meeting point. 

Please note that the venue is located in Oahu. You'll need to check and make travel arrangements from your accommodation to the venue in advance. You will not be provided with a refund if you cancel on the day of the experience."
Kualoa Ranch Movie Locations Bus Tour,"On this tour, a vintage school bus will take you around Kualoa Ranch to visit locations where iconic scenes from movies and shows such as Jurassic Park, Pearl Harbor, Magnum P.I., Lost and many others were shot. You will get to see the Ko’olau mountains, Kaneohe Bay and Mokoli’i Island – places that served as a gorgeous backdrop to Hollywood thrillers and romantic comedies alike.  Throughout the tour, your guide will tell you about the history of the ranch and share interesting facts about the filming locations.",[],['Guide services'],"['Food and drinks', 'Tips']",['Suitable for all fitness levels'],"['Visitors must show a valid photo ID.', 'Visitors must show a valid photo ID.', 'Please arrive at least 45 minutes before the activity starts.', 'Please arrive at least 45 minutes before the activity starts.']","Departure pointKualoa Ranch, Kamehameha Hwy 49-560, Kaneohe, HI, 96744Please check-in at the tour provider's ticket office at the listed address.

Please contact the tour provider to confirm check-in time. You will find their contact details on the voucher you receive after booking."
Diamond Head and North Shore Tour,"This sightseeing tour will allow you to explore the nature views at Diamond Head and the North Shore. From your hotel in Waikiki, the tour will take you on a hike to the Diamond Head crater. Here, you'll be treated to breathtaking views of Waikiki and have an opportunity to take photos of the area's stunning natural landscape. Afterwards, you'll head to North Shore to continue your adventure. Along the way, you'll have a chance to admire the scenic views of spots including Kahuku Sugar Mill, Sunset Beach, Halona Blowhole, Hale'iwa Ali'i Beach Park, Haleiwa Town and Dole Plantation. By the end of the tour, the vehicle will take you back to your hotel.",[],"['Transportation', 'Driver', 'Diamond Head Admission']","['Lunch', 'Guide services']","['Not recommended for pregnant visitors', 'Not recommended for visitors with back problems', 'Not recommended for visitors with heart problems or serious medical conditions', 'Requires a moderate level of physical fitness', 'This tour involves a moderate amount of walking and climbing staircases.']","['This activity is not suitable for people with reduced mobility.', 'This activity is not suitable for people with reduced mobility.']","Pick-up pointWaikiki, HIPlease note that complimentary pickup and drop-off is available from hotels in Waikiki. Please enter your pickup details at checkout.

Please note that hotel pickup will commence ten minutes before the scheduled tour time.

The tour provider will contact you by phone or email with your exact pickup time and location the day before the tour."
Full-Day Guided Adventure in Koko Head Stairs and Southeast O'ahu,"We have designed this tour to provide you with a very challenging and rewarding hike, followed by visits to some of our favorite local beaches. These beaches include a lookout over Makapu'u Beach and a visit to the legendary shorebreak beach, Sandy's! This is an active day along our guides' personal favorite part of the island. This is also one of our most popular excursions among our backpacker guests!",[],['Air-conditioned vehicle'],"['Lunch', 'Bottled water']",[],[],"Departure point2566 Cartwright Rd, Cartwright Rd 2566, Waikiki, Honolulu, 96815You should see a covered carport area with a sign that reads Beach Waikiki Boutique. You should also see a van and a group of people waiting, excited for their day!"
Waikiki Guided Submarine Tour,"On this exciting tour, you will get a chance to go on a submarine ride and explore the marine life in and around Waikiki. You will be escorted to the dive site on a boat shuttle before getting inside the air-conditioned submarine. As the submarine reaches the depths of 100 feet, you will see a variety of fish, coral and turtles native to Hawaii. You will also catch a glimpse of wrecks of sunken ships and aeroplanes. You will spend around 50 minutes underwater before coming back to the surface, where the boat shuttle will be waiting to take you back to the mainland.",[],"['Guide services', 'Submarine dive', 'Audio guide', 'Boat shuttle ride']","['Tips', 'Hotel pickup and drop-off']",['Suitable for all fitness levels'],"['Visitors must be at least 91cm tall.', 'Visitors must be at least 91cm tall.', 'Please arrive at least 30 minutes before the activity starts.', 'Please arrive at least 30 minutes before the activity starts.']","Departure pointHilton Hawaiian Village Waikiki Beach Resort, Kālia Rd 2005, Waikiki, Honolulu, HI, 96815Please check in at the listed address. 

The ticket office is located on the beachfront of the hotel next to Tropics Bar & Grill at the Alii Tower."
2 Hour Waikiki Whale Watching in Honolulu,"Guaranteed whale sightings*Hydrophone to hear whale songs underwaterSpacious and modern Trimaran with unobstructed open air views as well as ample seating and shade on board.Knowledgeable staff with plenty of interesting whale informationConvenient location walking distance to most Waikiki hotels.BYOB Bring your own food and beverages allowed on board*Our crew will do our very best to make sure that every passenger on board will have the chance to see a whale on every trip that we offer. However if no passengers on board see a whale during your trip, we will offer a free return trip for passengers based on availability. This guarantee has no cash value, and does not entitle a guest to any refund or portion thereof if schedule or availability cannot accommodate a return trip.",[],"['Clean and hygienic restrooms onboard.', 'Bottled water provided as well as a cooler full of ice for BYOB', 'Underwater Hydrophone to listen underwater whale songs through our surround sound stereo system', 'Guaranteed Whale sightings*', 'Informative whale information from our knowledgeable crew and on board naturalists']",,[],[],"Departure point1 Holomoana St, Holomoana St 1, Waikiki, Honolulu, 96815We are located in the Ala Wai Harbor at Pau Hana Place, where Holomoana st meets Ala Moana Blvd by the Prince Hotel. Look for our signs that say Three Tiki Sailing, blue and white flags, and the sign which says Pau Hana Place. Our check in is inside Pau Hana Place food venue at the white tents."
Pelagic Shark Dive Tour,"This once-in-a-lifetime experience will take you swimming with the sharks off the coast of Oahu.  You’ll join the North Shore shark boat crew as you head out to the deep blue ocean. You’ll then have the opportunity to swim freely, without a cage, among sharks and other marine animals that make the Hawaiian waters their home.",[],"['Safety diver', 'Guide services', 'Bottled water', 'Snorkelling equipment', 'Guide commentary', 'Dive photographer']","['Swimsuit', 'Sunscreen', 'Towel', 'Tips', 'Private transportation']",['Requires a moderate level of physical fitness'],"['Visitors must be at least 5 years old.', 'Visitors must be at least 5 years old.', 'A minimum of 3 participants is required for the tour to go ahead. In case the number is not reached, you will be suggested with a new date or full refund option.', 'A minimum of 3 participants is required for the tour to go ahead. In case the number is not reached, you will be suggested with a new date or full refund option.']","Departure pointHale‘iwa Boat Harbor, North Shore, Haleiwa, 96712Please meet at the Haleiwa Small Boat Harbor, North Shore, Oahu. Meet on the left side of the harbor next to boat launching ramp/loading dock. 

Free parking is available near the dock."
Hanauma Bay Excursion,"This five-hour tour will allow you to expore the marine biodiversity of Hanauma Bay. From Waikiki, the tour vehicle will take you to one of Oahu’s most popular snorkelling destinations. Here, you’ll have a chance to swim with sea turtles and catch a glimpse of 450 species of vibrant tropical fish.  As the experience includes use of snorkelling equipment, you wouldn't need to bring your own. After your sea adventure, the tour vehicle will take you on a comfortable ride back to your accommodation.",[],"['Hotel pickup and drop off from select hotels', 'Use of snorkelling equipment']","['State admission fee', 'Tips', 'Snacks']",[],"['This tour is available in English and Portuguese.\rPlease note that the tour price does not include the state admission fee. An additional amount of USD 25 will have to be paid locally.\rThe admission fee is waived for active duty military with a valid ID and for residents of Hawaii with a proof of residency.\rChildren aged 0–11 years can enter for free.\rPlease bring your ticket with you to the attraction.\rShow more', 'Show more']","Departure pointHanauma Bay, Waikiki, HI, 96825Please note that complimentary pickup and drop-off services are available from accommodations and hotels in Waikiki. Please enter your pickup details at check-out.

Please note that hotel pickups will commence 30 minutes before the scheduled tour time.

Please contact the tour provider to confirm your pickup details.

If you aren’t using the hotel pickup service, please make your way to the meeting point at Aqua Queen Kapiolani hotel."
Oahu Circle Island Tour with Waimea Waterfall,"On this tour, you will be able to explore the hidden gems in Oahu with snorkelling and other activities. After meeting your guide, you will be taken to the Diamond Head Lookout, an elevated view perched on the eastern side of the famous Diamond Head Volcano.  Then, you will visit Halona Blowhole, where you will see molten lava tubes from volcanic eruptions of the past. You will also get a chance to visit Makapu’u Point to witness the dramatic sea cliffs. Next, you will head for some Hawaiian coffee and Macadamia nut tastings. You will also see Chinaman’s Hat and Kualoa Valley Mountain Range.  Before the tour ends, you will visit a local Hawaiian farm, where your guide will walk you through a local taro patch to understand local agricultural practices. Last but not least, you will be able to indulge in snorkelling at Turtle Beach.",[],"['Guide services', 'Pickup and drop-off in selected areas', 'Transportation in an air-conditioned vehicle', 'Snorkelling gear']",['Food and drinks'],[],['Please carry some cash for lunch.\rPlease carry a face mask.\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book or be accompanied by an adult. Operated by Go Hawaii Tours'],"Departure pointThe Modern Honolulu by Diamond Resorts, Ala Moana Blvd 1775, Waikiki, Honolulu, HI, 96815Meet your guide in front the Modern Hotel Valet at 06:55."
Waikiki Turtle Snorkelling Experience,"For this cruise, you'll board a 1977 catamaran for an adventure in Turtle Canyon – a cleaning station for green turtles. After being fully kitted out, you'll have the chance to get into the water and snorkel among the sea turtles. During the experience, your on-board crew will also help you locate other wildlife in the water, like hidden octopi and starfish.",[],['Snorkelling equipment'],,"['Not recommended for visitors with back problems', 'Not recommended for visitors with heart problems or serious medical conditions', 'Suitable for all fitness levels']","['Please arrive at least 30 minutes before the activity starts.', 'Please arrive at least 30 minutes before the activity starts.']","Departure pointDuke Paoa Kahanamoku Statue, Kalakaua Ave, Waikiki, Honolulu, HI, 96815Mana Kai Catamaran pulls up on the shores of Waikiki Beach directly behind the Duke Kahanamoku Statue. Please walk on the beach to board the vessel. 

Please walk to the boat on the shoreline to check in."
Turtle Canyon Snorkelling Adventure,"On this morning tour, you’ll head out to Turtle Canyon to swim and snorkel with a diverse array of marine wildlife. You’ll have dedicated snorkel guides in the water with you, helping you spot turtles as well as hidden creatures like octopi and sea urchins. After snorkelling in the crystalline waters, you’ll sail around Diamond Head in search of playful Hawaiian spinner dolphins. In the winter months, you could even spot migrating humpback whales. While cruising, you can stretch out on the boat’s comfortable nets and indulge in complimentary snacks as you take in the scenery.",[],"['Guide services', 'Fins, snorkel mask, snorkel and safety vest', 'Reef-safe sunscreen', 'Motion-sickness aid', 'Snacks', 'Parking validation (USD 6 for four hours)', 'Dry storage']",['Towels'],"['Not recommended for visitors with back problems', 'Not recommended for visitors with heart problems or serious medical conditions', 'Suitable for all fitness levels']","['English (US)', 'English (US)', 'English (US)']","Departure point226 Lewers St, Waikiki, Honolulu, HI, 96815Check in on the second floor above Wyland Art Gallery, 30 minutes before the tour."
