city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
Small-Group Cherry Blossoms and Monuments Walking tour,"Explore the iconic Cherry Blossoms, monuments and memorials of the national mall with an expert guide on this small-group walking tour. Walking tour means no sitting in traffic, outdoors means no confined spaces. Get an up-close look at all of the major monuments of the National Mall while learning of their history with an expert guide.",[],['Live Guide'],"['Bottled water', 'Gratuities']",[],[],"Departure pointLafayette Square, 16th St NW, Northwest Washington, Washington, 20001Meet your guide in front of the Jackson statue in Lafayette Park"
DC Signature Guided Brewery Tour,,,,,,,
Monuments Guided Tour with Snacks,"On this entertaining tour, you'll discover some of the highlights of Washington DC with an experienced guide. You'll get to see landmarks like the United States Capitol, the Washington Monument, some of the war memorials and the Lincoln Memorial, where you'll get to eat some gingerbread, a snack President Lincoln loved.  Throughout your tour, your guide will tell you stories about the places you're seeing and give you an insight into the past, present and future of the city. You'll be able to listen via an earpiece so you can explore away from the group and because you'll be wearing an LED bracelet, you'll never get lost.","[""3.5-hour tour covering many of DC's landmarks"", 'Entertaining guide telling you hidden stories about the city', 'Chance to eat some gingerbread by the Lincoln Memorial']","['Video materials of Washington DC', 'Light snack', 'Use of earpieces and LED bracelets', 'Comfortable and luxury transportation', 'Bottle of water', 'Guide services', 'Abe Lincoln gingerbread']",['Tips'],"['Wheelchair accessible', 'Surfaces are wheelchair accessible\t', 'Accessible to pushchairs/prams', 'Service animals welcome', 'Public transport links nearby', ""Infants must sit on an adult's lap"", 'Infant seats available']","['Not recommended for visitors with heart problems or serious medical conditions', 'Not recommended for visitors with heart problems or serious medical conditions', 'Suitable for all fitness levels', 'Suitable for all fitness levels']","Departure pointWhite House Gifts, 15th St NW 701, Northwest Washington, Washington DC, DC, 20005The tour starts at White House Gifts on 15th street and New York Avenue NW.

The closest metro stations are Metro Center and McPherson Square."
Historical Alleyways Tour,"On this guided tour, you’ll learn about the rich history of Washington, DC's alleyways. You’ll embark on a stroll through the city’s alleys, which provided a hidden and safe space for the poor and enslaved people. You’ll explore Blagden Alley-Naylor Court Historic District – well-preserved alleyways that now houses coffee shops, galleries and restaurants. During the tour, you’ll have a chance to listen to your guide’s commentary about the district’s history, offering insights into how the alleyways once served as a secure haven for African-Americans who had nowhere else to go to.",[],['Guide services'],['Personal expenses'],['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure pointBlanche K. Bruce House, M St NW 909, Northwest Washington, Washington, WA, 20001Meet your guide at the northwest corner of M Street and 9th Street NW."
Leesburg Premium Outlets Shopping Tour,"When your travel itinerary includes incredible shopping, Leesburg Premium Outlets is a must-have destination on the agenda...We have designed the perfect experience.Making your purchases at Virginia Premium Outlets is more convenient, they are exclusive shopping centers that do not have the problem of as much influx as those located within the city.Minimum 2 passengers.",[],"['Private transportation', 'Pick up at the hotel and transfer back.', 'Air-conditioned vehicle']",['Tip'],[],[],
"private Ronald Reagan, Washington National Airport transfer","I have lived in the DC Metro Area for more than 30 years. Those years were spent as a limo driver, chauffeur, and private tour guide. I have acquired a great amount of knowledge and experience about metropolitan Washington DC area and all airport and if you are staying inside washington dc one the hotel even not listed on web sight we came to you for pick up",[],['Bottled water'],,[],[],"Departure pointRonald Reagan Washington National Airport, Ronald Reagan Washington National Airport Access Rd 2401, Arlington, 22202DCA in front of the terminal"
Luxury Airport Transfer DCA to/from Washington DC,"Experience hassle-free airport transportation with DC limo! Enjoy convenient pickup, comfortable journeys, and reliable service with professional drivers. Book now for a stress-free airport transfer experience!",[],"['Bottled water', 'Air-conditioned vehicle', 'All Fees and Taxes']",['Coffee and/or Tea'],[],[],"End pointRonald Reagan Washington National Airport, Ronald Reagan Washington National Airport Access Rd 2401, Arlington, 22202"
Admission to George Washington's Mount Vernon,"This ticket will give you admission to George Washington's Mount Vernon, the historic estate of America's first president. You'll get to take a self-guided tour through the 18th-century gardens and see the Washington family tombs where George and Martha Washington are buried. You'll also get to visit the interactive museum and education centre and take in the recreation of George Washington's gristmill and fully functioning distillery where rye whisky is still produced.",[],['Skip-the-line admission'],"['Food and drinks', 'Hotel pickup and drop-off', 'Mansion tour']",['Comfortable footwear is recommended.'],"[""This tour operates in all weather conditions, please dress appropriately.\rPlease note that there are bag restrictions. The following are allowed: clear plastic, vinyl or PVC not exceeding 16 x 16 x 8 or a one-gallon clear plastic freezer bag/ Ziploc bag or a small clutch bag measuring 4.5 x 6.5.\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book or be accompanied by an adult. Operated by George Washington's Mount Vernon""]","Departure pointGeorge Washington's Mount Vernon, Mount Vernon Memorial Hwy 3200, Mt Vernon, VA, 22121"
Private 2-Hour Arlington Cemetery Guided Walking Tour,With a private tour guide explore the Arlington National Cemetery during 2H. This guided experience provides historical and human perspectives of US nation’s leaders and protectors that make your visit exclusive and unique much more meaningful and informative.Your Tour Guide will respect your privacy whenever you will need.,[],"['Private Licensed Tour Guide', 'Private Tour']",['Air-conditioned vehicle'],[],[],"Departure pointMemorial Avenue, Memorial Ave, ArlingtonArlington Cemetery
Memorial Ave, Arlington, VA, USA
Meet your tour guide outside of Arlington Cemetery metro station - upstairs"
Private VIP Monuments & Memorials Bike Tour,"Enjoy one of our regularly scheduled bike tours in a more intimate setting with just your friends and/or family.  This is a perfect choice for families, VIPs, or anyone looking for a more personal experience on DC’s top rated bike tour!This is for a group UP TO 6 PAX. If you want to add more people to your group, please note, there will be additional cost.",[],"['Professional guide', 'Use of bicycle', 'Private tour (4Pax, eBike upgrades available onsite for $30/pp)', 'Use of helmet']",['Gratuities'],[],[],"Departure point998 Maine Ave SW, Maine Ave SW 998, Southwest Waterfront, Washington, 20024Please meet at 998 Maine Avenue, Washington DC, 20024. We're on the corner of Maine Avenue and Blair Alley SW"
Enjoy A Beautiful Day With Mother Nature Cruises,"Enjoy the peaceful sounds of the waves gently breaking off the hull of Eternal Hope as she glides through the waters of the bay. Powered only by Mother Nature's wind! This cruise sails at 9 am, 12 Noon and 3 pm, Tuesday - Sunday and on Mondays for Memorial Day and Labor Day.",[],"['Snacks and water', 'All Fees and Taxes']",,[],[],"Departure point4160 Mears Ave, Mears Ave 4160, Chesapeake Beach, 20732Chesapeake Beach Resort & Spa

4160 Mears Avenue, Chesapeake Beach, MD

Dock A, Slip 15,"
Smithsonian American Art Museum Tour,,,,,,,
Private Tour with US Capitol Or Archives Or Washington Monument,"Enjoy the best of Washington, D.C. on a customized 3 hour private tour. You will be picked up at a location of your choice in a late model SUV, Van or Bus (depending on group size) and personally guided through the top highlights of the city, with fun and educational information along the way from your expert driver/guide. You'll pass all of the major sights, with time to get out and visit each memorial up close.",[],"['Admission Ticket Add-Ons at chckout for either: National Archives, Washington Monument, or NMAAHC', 'Professional Guide', 'Customizable itinerary to coordinate with operator ahead of travel date', 'Complimentary Hotel Pick-Up and Drop-Off', '3-Hour Private Small or Large Group Customizable Washington DC City Tour']",['Gratuities'],[],[],
Perfect Private 3 Hour Black History Tour Washington DC,,,,,,,
Arlington Cemetery Private Tour,Experience Arlington Cemetery with a Veteran guide trained in military history. Observe the changing of the guard at the Tomb of the Unknowns. Visit each of the Kennedy graves. Discover Robert E. Lee's mansion upon the grounds and his wife's garden where the first burials took place. Discuss the beginning of the cemetery during the Civil War and its evolution through all of our nations conflicts.US federal or state government issued photo identification or passport is required for entry into Arlington National Cemetery.,[],"['WiFi on board', 'Bottled water', 'Private tour', 'Air-conditioned vehicle', 'Transport by private vehicle']","['Lunch', 'Gratuity']",[],[],
"Private Tour of Washington, DC by Van to Honor Our Heroes","Experience the history of Washington, DC, during a three-hour private tour by van, to see incredible tributes to honor service members…visit Arlington National Cemetery, the famous Changing of the Guard at the Tomb of the Unknown, commemorating its 100th year anniversary, the JFK family gravesite, the Arlington House, other observances and landmarks in DC. The memorials are a significant part of history to include in your tour.",[],"['FREE PICKUP WITHIN 7KM RADIUS OF WASHINGTON DC.', 'Professional driver/guide']","['Gratuities', 'Food and Drinks', 'Trolley Tickets at Arlington Cemetery']",[],[],"Departure pointHyatt Regency Washington On Capitol Hill, New Jersey Ave NW 400, Northwest Washington, Washington, 20001Hotel Entrance /Lobby"
Small Group Food & Drink Tour from Union Station to Union Market,"Washington, DC, is a city made of many small, distinctive neighborhoods, often divided by invisible lines and barriers. This can lead to many feeling like there is nothing nearby, yet they are only a block from some amazing treasures!Join us as we explore the neighborhoods of Union Station, Capitol Hill, Swampoodle, NoMa, and Union Market in a 3-hour tour that includes food and drink samples along the way curated by a local Washingtonian and highlights some of our favorite local spots.Start at the oldest Irish Pub in Washington, DC, and make your way to Union Market, stopping along the way for food and drinks at local favorite restaurants and breweries. Explore Union Market and take a break with a snack and cocktail. Then make your way to the Latin American Market, where you will sample and learn about select national dishes and drinks from various countries.",[],"['Food samples will be served', 'Drink samples/tasters will be served']",['Gratuities'],[],[],"Departure point4 F St NW, F St NW 4, Northwest Washington, Washington, 20001Meet your guide inside the Dubliner Irish Pub at the main bar (long bar inside to the right)"
Half-Day Private Tour in Washington,This is the best way to Discover the city with one of the best Tour Guides in town! Dante will be your Driver and Tour Guide. He will take you to the main sights of the city giving you the history all the way. We will let you get off the vehicle very close to each memorial so that you can visit and take your photos. All tours may be customized and are family style.,[],"['Hotel drop-off', 'Bottled water', 'Driver/guide', 'Hotel Pick up', 'Transport by air-conditioned minivan', 'Transport by private vehicle']","['Lunch', 'Food and drinks, unless specified', 'Gratuities']",[],[],
Washington Nationals Baseball Game Ticket at Nationals Park,"Are you a traveller looking for an exciting experience in Washington D.C.? Look no further than seeing the Washington Nationals play a Major League Baseball game at Nationals Park! Catch all the action and excitement of the big leagues as you watch the Nats battle it out on their home turf. There's nothing quite like attending a live major league baseball game, and a ticket to this one is sure to provide entertainment and memories that will last a lifetime! Make your trip an unforgettable one with a ticket to the Washington Nationals.Seating categories are based on location and proximity to the field. Premium & Intermediate category seats generally sit along the 3rd baseline, behind home base or along the first base line. Premium seats are closer to the field. Whereas seats in the Basic seating category are generally higher up and in the outfield.* Please note: this is a guide only and is subject to the availability of your chosen game.",[],"['A dedicated seat for the game (view varies by seat category)', 'Game ticket for a Washington Nationals MLB game', 'A mobile ticket sent to your smart phone']","['Food and Drink', 'Hotel pickup and drop-off']",[],[],"Departure pointNationals Park, 1500 S Capitol St SE, , Washington DC District of Columbia, 20003-3599"
Perfect Private Mt. Vernon/Arlington Cemetery Tour,"Discover the rich tapestry of American history beginning at the iconic Arlington National Cemetery and finishing at Mount Vernon:Arlington National Cemetery:Our journey commences at Arlington, where we pay solemn tribute to the brave men and women who have served our nation. Experience the poignant Changing of the Guard ceremony at the Tomb of the Unknown Soldier. Explore the historic Kennedy Gravesite and immerse yourself in the profound history and reverence of this sacred ground.Mount Vernon:From Arlington, we'll transport you to the enchanting world of Mount Vernon, the cherished estate of George Washington, the first President of the United States. As you step into the 18th century, you'll tour the beautifully preserved mansion, stroll through the picturesque gardens, and visit Washington's final resting place. Our knowledgeable guides will provide captivating insights into Washington's life, leadership, and enduring impact on our nation.Lunch @ Mt Vernon NOT included",[],"['Hotel pickup and drop-off', 'Bottled water', 'My time as a tour professional, guide and escort']",['Any personal purchases or expenses.'],[],[],
Festival Of Lights Night Tour,"Meet at starbucks on 7th and E street –1 blocks from National Archives Metro and 1 block from Chinatown Metro. Bundle up in blankets on the Pedicab head towards the Nations Capital. Pass the Newseum, stroll through 50 different state news papers that are showcased in front of the museum. Check out the Canadian Embassy’s Tree Lights, the Capital Tree Lights, and head towards the White House via Pennsylvania Avenue. Get dropped off at the White House National Tree Lights. This is a 45minute Tour and you also pass the National Archives, the FBI Building, the Old Post Office, and the Trump Hotel.",[],['Private transportation'],['Gratuities'],[],[],"Departure point436 11th St NW # Hotel, # Hotel, 11th St NW 436, Northwest Washington, Washington, 20004Right in front of williard hotel."
DC with Dante Half-Day Tour,Discover the city with one of the best Tour Guides in town! Dante will be your Driver and Guide. He will take you to the main sights of the city giving you the history all the way. All tours may be customized and are family style.,[],"['Hotel drop-off', 'Bottled water', 'Driver/guide', 'Hotel pickup', 'Transport by air-conditioned minivan', 'Transport by private vehicle']","['Lunch', 'Food and drinks, unless specified', 'Gratuities']",[],[],
Private Guided Sunset Tour in Washington DC,"An exceptionally exclusive glance of diplomatic bounty, while driving down Massachusetts Ave (Embassy Row.) That XVIII Century neighborhood feel of historic Georgetown Street alleys and its 1789 Gothic Revival University architecture. The Glamorous Kennedy Center for the performing arts, encompassed with the light up memorials view from the Iwo Jima marine’s memorial makes this Washington DC sunset tour a unique experience. 3 hrs. Seasonal experience (March - October)",[],"['WiFi on board', 'Escorted Licensed Tour Guide.', 'Hotel pick up and drop off.', 'Mobile charging stations.']",,[],[],
Private & Custom Day & Night Tours of Washington DC in Mini Bus,"This Executive mini bus private tours is for up to 30 people. Explore Washington DC with Five Star Limousine Service. We provide pick up and drop off at any desired place in Washington DC, Virginia and Maryland. Distinguish customer service, modified limos and reliability shape our Tour Quality. Capture yourself in front of most of the historical buildings in the shortest possible time.",[],['Private transportation'],,[],[],
HALF DAY TOUR - Mt. Vernon + Night tour,"Experience first hand where George Washington, America’s founding father lived, walked and dined. Guest would have the opportunity to explore the Mount Vernon property and get a guided tour of the mansion. On the way back at Old town Alexandria guests would have opportunity to see Christ church where George Washington worshiped. Also guests would see George Washington’s town house.",[],"['Pickup and drop-off from designated meeting point', 'Driver/guide']","['Gratuities', 'Own Expense']",[],[],"Departure point400 New Jersey Ave NW, New Jersey Ave NW 400, Northwest Washington, Washington, 20001IN FRONT OF THE HYATT REGENCY HOTEL"
Mt. Vernon Full Day Tour with Guide,"The DC Memorials and Monuments is a comprehensive tour of the Monuments and Memorials with experienced tour guide. Guests will visit all the Monuments and Memorials while learning fascinating facts from our tour guide, making your visit a memorable one.We continue on a trip to MT VERNON Where you will enjoy some spectacular discoveries about the first president of The United States.",[],['Driver/guide'],['Gratuities'],[],[],"Departure point400 New Jersey Ave NW, New Jersey Ave NW 400, Northwest Washington, Washington, 20001Infront of Hyatt Regency Hotel"
Mount Vernon & Alexandria: Private Day Trip from Washington DC,"Enjoy a private full-day trip to Mount Vernon and Alexandria from Washington DC and discover the home of America's first president, George Washington granted to him by his great-grandfather, John Washington, with a 500-acre estate, and explore his hometown nearby Alexandria, famous for its colonial history and association with the founding fathers. Meet your guide and driver at your hotel and set off to Mount Vernon, your first stop. Mount Vernon is a sprawling 18th-century palladian mansion set on 500 acres of plantation land. After a guided tour of the mansion house, enjoy an immersive 4D video experience at the Revolutionary War Theater at the Education Center next door.After, visit the historic town of Alexandria, where you will have a fascinating walking tour as you learn all about the American Revolution. Finally, hop in your private car for your return trip towards DC!",[],"['Mount Vernon Mansion, Museum and grounds admission tickets', 'Plenty of time to take photos of your favourite places', 'A friendly, professional English-speaking tour guide for your own private group', 'Private transportation including hotel pick-up and drop-off from your centrally located hotel']","['Cost of lunch, and all food/drink', 'Gratuities']",[],[],"Departure point908 17th St NW, 17th St NW 908, Northwest Washington, Washington, 20006Your guide will meet you at the entrance to the 7-Eleven located at 908 17th St NW, Washington, DC 20006, United States."
Private Washington DC Moonlight Tours,Join us on this 4 to 5 hours private tour in a limousine and visit Washington DC’s most iconic monuments—and see many of the city’s top landmarks.,[],['Air-conditioned vehicle'],,[],[],"Departure pointWashington Monument, 15th St NW 2, Washington, 20024Infront of the Monument."
Private Fun Learning About Fungi and Plant Wellness,This is an interactive experience that explains to the traveler the benefit of plant and fungi in their everyday lives. Its a life changing experience because the world is starting to focus on mental health and fungi and plants have been proven scientifically to help.,[],"['Snacks', 'All Fees and Taxes', 'Podcast gear is available to use']",,[],[],"Departure point3324 Georgia Ave NW, Georgia Ave NW 3324, Northwest Washington, Washington, 20010Take an Uber to 3324 Georgia Ave, you will see 2 big brown doors. I will be standing in front of the door."
Washington Highlights Guided Walking Tour,"A unique opportunity to visit Washington in French! Your French-speaking guide will introduce you to the history of the capital and its greatest presidents. Immortalized by grandiose monuments, you can discover them during this 3-hour guided tour, on foot and in French.With a maximum of 15 participants, the small group size gives you security and privacy. Your guide will also be happy to share anecdotes of his American life, and he will gladly answer your questions outside the visit.",[],['Tipping at your discretion'],['Snacks'],[],[],"Departure pointThe White House, Pennsylvania Avenue NW 1600, Northwest Washington, Washington, 20500Meet in front of the statue of the Marquis de Lafayette"
Kurdish Grilling and Eating Experience in Washington DC,"With a Kurdish chef and food expert, you'll learn the craft of grilling methods and take home simple techniques that will make you more successful with Mediterranean food.",[],['Dinner'],,[],[],"Departure point448 20th St NE, 20th St NE 448, Northeast Washington, Washington, 20002Come to the entrance of the building at 448 20th Street NE, Washington, DC 20002 where the grilling demonstrations take place."
"Private, Exclusive DC City Tour","Visiting Washington DC landmarks and monuments can be daunting if you aren't familiar with the city. This exclusive, private tour by van or bus (vehicle depends upon group size) allows you to see the attractions without worry. Select your private group from 1 to 12 people and enjoy your tour with a licensed guide as they narrate the sights and landmarks of DC.",[],"['Live commentary on board from professional guide', 'Hotel pickup and drop-off', 'Bottled water', 'Private tour', 'Transport by air-conditioned minivan or coach']","['Food and drinks', 'Gratuities']",[],[],"Departure pointHyatt Regency Washington On Capitol Hill, New Jersey Ave NW 400, Northwest Washington, Washington, 20001Lobby"
Evening Guided Tour of Washington DC's Most Inspiring Memorials,"As the sun goes down, some of America's most cherished monuments and memorials are transformed by lights that make them shine brightly against the night sky. This memorable walking tour takes you to see these iconic DC sites after dark, when their architectures and details take on a new beauty.Your tour will start at the inspiring Martin Luther King Jr. Memorial, gazing up at the massive stone sculpture emerging from the mountain. Then it's on to the Franklin D. Roosevelt Memorial, where quotes and statues tell the story of his unprecedented four presidential terms. Continuing on, we'll visit the Korean War Veterans Memorial. At the World War II Memorial, we'll stop to remember the sacrifices of the Greatest Generation.As we walk the tree-lined paths, your guide will share interesting facts and history about each memorial. We'll end the tour at the obelisk of the Washington Monument. this is a unique way to experience America's heritage.",[],['Tour guide'],['food and drink'],[],[],"Departure point1964 Independence Ave SW, Independence Ave SW 1964, Southwest Washington, Washington, 20004Meet your guide at Dr King memorial 1964 independence ave"
Private DC Guided Bus Tour with Step Off Guide,"Professional, passionate guides will lead a premium, private tour experience, including luxury transportation. Our guides will weave storytelling to enhance the visual experience. See the best of DC, what you want to see in 3-4 hours. A licensed guide will accompany you and step off and lead the way at the stops you pick. Embarking on a guide tour of Washington, DC promises a captivating journey through the heart of American history and culture. You can anticipate immersing yourself in iconic landmarks such as the majestic US Capitol Building where the nation's laws are crafted, and the White House, symbolizing the pinnacle of political power. The solemnity of the Lincoln Memorial, with its towering statue of the revered president, offers a moment of reflection of the nation's journey. A stroll along the National mall unveils a tapestry of monuments honoring heroes and events that shaped the nation including the Vietnam Veterans Memorial and the Martin Luther King Memorial.",[],"['Step Off Guide', 'Private transportation', 'Umbrellas', 'Bottled water', 'Ponchos', 'Air-conditioned vehicle']",,[],[],
2 Hours Book Store Tour in Capitol Hill,"Discover literary treasures by walking through Capitol Hill. The tour will also include passing by sites like the U.S Capitol and Library of Congress. The tour begins on H St, a vibrant neighborhood for restaurants and entertainment.We will begin with a visit to Solid State, a black-owned independent bookstore featuring a diverse selection of fiction and non-fiction titles.Grab a coffee or tea (included), and we will take a 25 minute walk (or Uber based on weather conditions, which will be included in the price). Next, East City -Is an independent women bookstore founded by local bibliophile Laurie Gillman, followed by Capitol Hill Books, a quaint bookstore with many rooms, including rooms like the Mystery Room, the Cultural Closet and the Weird SectionLastly, you can continue to enjoy vendors and food at DC’s landmark, Eastern Market. The tour will end here, and you will have time to enjoy the market on your own.",[],['Soda/Pop'],['books/magazines found at the bookstores'],[],[],"Departure pointSolid State Books, H St NE 600F, H Street Corridor, Washington, 20002Meet outside the front of the book store.
The book store can be reached by public bus (circulator) or by using the metro (union station stop) is the closest but still requires a 10-15 minute walk). A taxi or an Uber can also be used."
Fabulous Private Night City Tour by Car of Washington DC,"Discover impressive architecture coupled with a rich history that spans hundreds of years. Washington DC night city tour will bring you to a time long gone but always in the hearts of the locals. It is a perfect match for those who want to enjoy the city's iconic sites in the shortest amount of time. You will visit fascinating places, such as the Freedom Plaza, and Lincoln Memorial Park. What secrets are hidden in the US Capitol? Which two American Presidents kept alligators at the White House?! Find out with your private tour guide.",[],"['Professional Local Guide', 'Transportation']",,[],[],
The 10 Tastings of Washington With Locals: Private Food Tour,"Fall in love with the flavourful American cuisine on this delicious food tour in Washington! Enjoy a selection of 10 food and drink tastings hand-picked by your foodie local host. From yummy must-tries like Half smoked Hot Dog to unique dishes typical of the city such as Delicacies from the South.This culinary tour in Washington is a cultural journey that takes you further than the food you’ll eat. As you enjoy authentic local bites ranging from savory to sweet as well as drinks, you’ll also discover the city and its highlights. Stop to admire the Eastern Market, Capitol Hill, and Marine Barracks and hear about their local relevance from your host.Want to know what this food tour has in store for you? Your local foodie has you covered! And because sharing is caring, you and your group will get to try bites of famous dishes.Looking for a vegetarian alternative? It’s possible! The tour has been created with alternative tastings to fit your preferences.",[],"[""CO2 Neutral: tour's carbon emissions are offset"", '10 Food & Drink Tastings', 'Private Tour', 'Private Guide', 'Vegetarian Alternatives']","['Hotel pick-up and drop-off', 'Entrance for attractions not included - we will only visit them from the outside']",[],[],"Departure pointEastern Market, Pennsylvania Ave. SE 701, Capitol Hill, Washington, 20003"
Private Luxury Yacht Tour of Washington DC Historic Sites,"Guest are treated with care of a dedicated host who serves your needs. The Captain is USCG certified and is focused on the safety of everyone aboard. The luxury yacht allows guests to relax in the sun, or go below to the full kitchen, two bathrooms, and spacious seating area.Whether you are celebrating your special event or traveling from out of town, You can still create your magical memories the water.",[],"['WiFi on board', 'Air-conditioned vehicle', 'Restroom on board']",,[],[],"Departure pointSouthwest Waterfront, Southwest Waterfront, WashingtonThe meeting point is at Audi stadium in SW Washington DC on second street"
Illuminated Icons: Private Evening Tour of Washington’s Monuments,"Embark on a captivating 3-hour private tour through the heart of Washington, D.C., as the city comes alive with the illuminated splendor of its iconic monuments and memorials. Witness the grandeur of the White House and the U.S. Capitol, standing as pillars of American democracy. Pay homage to the heroes of World War II at the National World War II Memorial, and reflect on the enduring ideals of Thomas Jefferson at the Jefferson Memorial. Experience the powerful legacy of Martin Luther King, Jr. at his memorial, followed by a visit to the majestic Lincoln Memorial, a symbol of unity and liberty. Honor the sacrifices of Korean War veterans at their memorial and pay respects at the Vietnam Veterans Memorial, where the names of the fallen are etched in solemn remembrance.",[],"['Professional local tour guide', 'Transportation']",,[],[],
Private Full-Day Tour Live the Colonial Williamsburg Experience,,,,,,,
Day time tour,"What makes this private tour unique is that will covered almost all the memorials sites and makes stops as we go. Sometimes we allowed the travelers to choose which sites they want to see and those that they did not really care about. And because of the walking distance to some of the sites travelers also choose to skip some of the sites. In this case we don't impose anything on the travelers, we give them the opportunities to choose must see sites for them; and we're flexible in this direction. This flexibilities we have available is what they cannot enjoy with other tour companies in Washington DC. Rather they choose what they want you to see as the travelers.",[],['Free Water to drink'],['Gratuities'],[],[],"Departure pointHoliday Inn Washington Capitol - Natl Mall, an IHG Hotel, C St SW 550, Southwest Washington, Washington, 20024Pickup location is by Holiday Inn SW. Washington DC. right opposite Department of Education SW. Washington DC. At the block of 6th Street and 4th Street, SW,"
"3-Hour Small Group Memorial Tour in Washington, D.C.","This is a 3-hour group tour ,educational and fun.This tour will bring you as close to the memorials as possible and our professional guides will show you the perfect spots to take great pictures.Participants have 20 minutes to experience the sight.",[],"['Bottled water', 'License Guide', 'Air-conditioned vehicle']","['Alcoholic Beverages', 'Gratuities', 'Snacks']",[],[],"Departure pointHyatt Regency Washington On Capitol Hill, New Jersey Ave NW 400, Northwest Washington, Washington, 20001SIDEWALK FRONT."
Private Tour In different languages,"Key Components that makes us unique:* Safety and reliable company* Free light snack and bottle of water onboard of your luxury vehicles.* We only work with Certified Storyteller tourist guides* We use Earpieces during our tours* If your private tour is in the evening we will use our LED bracelets to identify your group from the crowd. * Hotel pick ups and drop offs* All inclusive price* You can have a Certified tourist guide in different languages. (Spanish, French, English, etc. )* Audio visual materials* We have different tour menu like:- AFRICAN AMERICAN HERITAGE TOUR- WASHINGTON DC – UNDER THE RAINBOW- DARK TOUR AT THE MEMORIALS- THERE IS NO DEATH AT DC Cemetery tour.- MUSEUM TOUR- BEST HIGHLIGHTS OF DC- CAPITOL HILL AND EASTERN MARKET TOUR- MAGIC LED GUIDED NIGHT TOUROur tours are more THOUGHTFUL,TRUTHFUL, INCLUSIVE AND EXCITING. We are a very flexible company with your own itinerary. We look forward seeing you soon. Come Smile With Us!",[],"['LED bracelets. Free light snack and Bottle of water available for all our guests.', 'Certified local tourist guide', 'Luxury Transportation', 'Our earpiece technology allows our guests to enjoy our commentary delivered directly to each guest', 'LED bracelets that allow our guests to identify their groups without getting lost or left behind']","['Please return the equipment used after the tour. Each lost ear piece is $105. Lost bracelets are $50', 'Gratuity, it is not included is your consideration and it will be share between the drive and guide.']",[],[],"Departure pointThe White House, Pennsylvania Avenue NW 1600, Northwest Washington, Washington, 20500"
Group Booking,"Over the past 10 years, we have become one of the top D.C. city tours with the unique knowledge of our guides and lectures for all group levels (from university professors, families, to primary school groups).",[],"['Bottled water', 'Air-conditioned vehicle']",['Gratuities'],[],[],"Departure pointHyatt Regency Washington On Capitol Hill, New Jersey Ave NW 400, Northwest Washington, Washington, 20001"
"DC Monuments Walking Tour: Small Groups, Big Ideas","Don't think a tour should be a huge list of dates? Me neither!On this interactive walking tour, we will explore some of DC’s most iconic monuments, learning about the people they honor and those who made them. We will talk as a group about what monuments mean to you and why we have them. Come prepared to walk about a mile (1.6km). There will be benches, but not at every stop. A water bottle is recommended. Most importantly, bring your curiosity (and your camera!).So, who am I? I’m glad you asked! My name is Shelley and I adore talking about people, especially the ones that lived in the past. I started my career as a ranger with the National Park Service – you know, those people with the funny hats. You could have met me at The Frederick Douglass House, Cape Cod National Seashore, or The Chesapeake and Ohio Canal during my seven years of service. I have a Master's in museum studies and a Bachelors in anthropology and linguistics. I’m excited to meet you!",[],"['A Professional Tour Guide (Me!)', 'All Fees and Taxes']","['Bring a reusable water bottle! The National Mall has fill up stations.', 'Tips (Not expected, but always appreciated!)', 'Hotel Pick-up and Drop-Off', 'We will be outside the whole tour, bring snacks!']",[],[],"Departure point1750 Independence Ave SW, Independence Ave SW 1750, Washington, 20024Meet on 17th St. SW next to a crosswalk. It is about halfway between Independence Ave and Constitution Ave on the East side of the street (the side with the Washington Monument. If walking from Constitution Ave, it will be the first crosswalk after the intersection. Find me in a green shirt."
Faith Heritage Private Guided Bus Tour - Up to 12 People,"Come on a trek that will highlight the sacred sites of Washington, DC. We will help you explore and discover the faith-based heritage that has made America a refuge of religious liberty and tolerance for all that come to these shores. Monumental Tours will provide well-versed guides that can guide to the various heritage sites.The tour will give you a faith-based understanding to American history. It will go over the spiritual influence of the founding of the United States and sacred tradition, which has influenced and shaped the laws and culture of America forever.",[],"['Step Off Guide', 'Private transportation', 'Bottled water', 'Air-conditioned vehicle']",['Tickets to the Museum of the Bible'],[],[],
