city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
Private Transfer from Orlando-Sanford Airport to Port Canaveral,"Take the worry out of your departure to Port Canaveral and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Tavares to Orlando (MCO) Airport,"Take the worry out of your departure to Orlando Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointTavares, Tavares, 32778The driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Poinciana to Orlando (MCO) Airport,"Take the worry out of your departure to Orlando Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointPoinciana, PoincianaThe driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Orlando (MCO) Airport to Ponte Vedra Beach,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando (MCO) Airport to Miami Beach,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando (MCO) Airport to Clearwater Beach,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando (MCO) Airport to Gainesville,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando (MCO) Airport to St. Petersburg,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando-Sanford (SFB) Airport to Watersong Resort,"Take the worry out of your arrival to Orlando-Sanford (SFB) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Davenport to Orlando (MCO) Airport,"Take the worry out of your departure to Orlando Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointDavenport, DavenportThe driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Orlando-Sanford (SFB) Airport to Universal Studios,"Take the worry out of your arrival to Orlando-Sanford (SFB) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Clermont to Orlando (MCO) Airport,"Take the worry out of your departure to Orlando Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointClermont, ClermontThe driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Orlando (MCO) Airport to Port Canaveral,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Sebring to Orlando (MCO) Airport,"Take the worry out of your departure to Orlando Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointSebring, SebringThe driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Orlando-Sanford (SFB) Airport to Vistana Centre Drive,"Take the worry out of your arrival to Orlando-Sanford (SFB) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando-Sanford (SFB) Airport to Crystal River,"Take the worry out of your arrival to Orlando-Sanford (SFB) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Lakeland to Orlando-Sanford (SFB) Airport,"Take the worry out of your departure to Orlando-Sanford Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointLakeland, LakelandThe driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Orlando-Sanford (SFB) Airport to Vero Beach,"Take the worry out of your arrival to Orlando-Sanford (SFB) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando (MCO) Airport to New Smyrna Beach,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Kissimmee to Port Canaveral,"Take the worry out of your departure to Port Canaveral and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointKissimmee, KissimmeeThe driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Orlando-Sanford (SFB) Airport to Lake Buena Vista,"Take the worry out of your arrival to Orlando-Sanford (SFB) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando (MCO) Airport to Orlando Sanford Airport,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando (MCO) Airport to Jacksonville,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando-Sanford (SFB) Airport to Port St. Lucie,"Take the worry out of your arrival to Orlando-Sanford (SFB) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from SeaWorld to Port Canaveral,"Take the worry out of your departure to Port Canaveral and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointSeaWorld Orlando, Sea World Dr 7007, Orlando, 32821The driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Orlando Airport to Port Canaveral,"Take the worry out of your departure to Port Canaveral and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Orlando (MCO) Airport to Miami Airport,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Davenport to Port Canaveral,"Take the worry out of your departure to Port Canaveral and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointDavenport, DavenportThe driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Orlando (MCO) Airport to Haines City,"Take the worry out of your arrival to Orlando (MCO) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando International Airport, Jeff Fuqua Blvd 1, Southeast Orlando, Orlando, 32827The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando-Sanford (SFB) Airport to Spring Hill,"Take the worry out of your arrival to Orlando-Sanford (SFB) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Vista Cay to Orlando-Sanford (SFB) Airport,"Take the worry out of your departure to Orlando-Sanford Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointVista Cay By Millenium, Cayview Ave 4874, Orlando, 32819The driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Poinciana to Orlando-Sanford (SFB) Airport,"Take the worry out of your departure to Orlando-Sanford Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis at the hotel, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointPoinciana, PoincianaThe driver will meet Guests at the hotel reception or in front of the private address provided."
Private Transfer from Orlando-Sanford (SFB) Airport to Palm Harbor,"Take the worry out of your arrival to Orlando-Sanford (SFB) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will be waiting in the arrivals hall, holding a nameboard"
Private Transfer from Orlando-Sanford (SFB) Airport to Longboat Key,"Take the worry out of your arrival to Orlando-Sanford (SFB) Airport and pre-book a private transfer to suit your group size (up to 8 people). Avoid the long lines for taxis on arrival, and travel in the comfort of a Premium car or minivan.",[],"['All taxes and VAT', 'Meet and greet service', 'Any parking and/or airport tolls', 'Private one way transfer', 'Tips and gratuities']","['Excess luggage charges: Only 1 standard suitcase allowed per passenger, size 46x69x29cms (18x27x11in); an additional fee will be applied in case of oversized and extra luggage.']",[],[],"Departure pointOrlando Sanford International Airport, Red Cleveland Blvd 1200, Sanford, 32773The driver will be waiting in the arrivals hall, holding a nameboard"
